,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HS,AS,HST,AST,HTGD,ATGD,DiffPts,DiffFormPts,HTP,ATP,HC,AC,HF,AF,HY,AY,HR,AR,HAS,HDS,AAS,ADS,MP
18,West Ham,Leicester,0,1,A,17,4,12,2,-2,0,-1,-1,0,1,11,5,16,14,3,3,1,0,1.4254385964912282,1.2675438596491229,1.1578947368421053,1.486842105263158,228
19,Arsenal,Charlton,5,3,H,18,7,9,4,-1,4,-3,-3,0,3,8,3,12,15,0,1,0,0,2.1789473684210527,0.8385964912280702,0.9172932330827067,1.5639097744360901,285
20,Bradford,Leicester,0,0,D,8,13,4,8,1,1,-1,-1,3,4,6,8,11,12,1,2,0,0,1.0526315789473684,1.5263157894736843,1.1578947368421053,1.486842105263158,19
21,Everton,Derby,2,2,D,12,7,9,4,1,-1,2,2,3,1,11,2,11,9,2,3,0,0,1.592982456140351,1.0701754385964912,0.6140350877192983,2.0701754385964914,285
22,Ipswich,Sunderland,1,0,H,14,9,5,3,-2,-1,-2,-2,1,3,7,6,10,12,1,1,0,0,1.3421052631578947,1.0263157894736843,0.8947368421052632,1.7456140350877194,38
23,Man City,Coventry,1,2,A,14,9,5,8,-2,-1,0,0,3,3,5,5,7,12,2,3,0,0,1.8345864661654134,0.9849624060150376,1.1578947368421053,2.1052631578947367,266
24,Middlesbrough,Leeds,1,2,A,15,16,8,11,2,3,-2,-2,4,6,4,8,12,20,2,0,0,0,1.3026315789473684,1.236842105263158,1.2894736842105263,1.5394736842105263,152
25,Newcastle,Tottenham,2,0,H,15,10,6,2,-1,2,-1,-1,3,4,4,2,13,10,0,0,0,0,1.537593984962406,1.1766917293233083,1.2035087719298245,1.4771929824561403,266
26,Southampton,Liverpool,3,3,D,14,9,7,4,-1,-1,-2,-2,1,3,7,1,7,6,0,0,0,0,1.486842105263158,1.1578947368421053,1.4912280701754386,1.1964912280701754,152
27,West Ham,Man United,2,2,D,17,8,8,5,-3,2,-4,-4,0,4,7,5,12,9,1,0,0,0,1.4254385964912282,1.2675438596491229,1.7228070175438597,1.0421052631578946,228
28,Aston Villa,Chelsea,1,1,D,12,11,9,7,0,0,-1,-1,2,3,7,10,13,12,0,1,0,0,1.2596491228070175,1.1087719298245613,1.5368421052631578,0.9263157894736842,285
29,Leeds,Man City,1,2,A,6,8,1,3,3,-2,3,3,6,3,9,4,18,24,2,2,0,0,1.5394736842105263,1.3026315789473684,1.2857142857142858,1.368421052631579,76
30,Man United,Bradford,6,0,H,21,6,12,4,2,1,1,1,5,4,5,1,12,10,0,1,0,0,2.1964912280701756,0.7017543859649122,0.5263157894736842,2.1578947368421053,285
31,Sunderland,West Ham,1,1,D,17,16,7,9,-2,-3,2,2,3,1,4,11,19,14,2,3,0,0,1.1228070175438596,1.206140350877193,0.9692982456140351,1.6535087719298245,228
32,Tottenham,Everton,3,2,H,11,11,7,6,0,1,0,0,4,4,7,5,11,10,1,2,0,0,1.743859649122807,1.0666666666666667,1.0736842105263158,1.3543859649122807,285
33,Charlton,Southampton,1,1,D,8,11,6,3,-1,-1,1,1,3,2,10,14,14,16,3,3,1,0,1.3458646616541354,1.3383458646616542,1.013157894736842,1.513157894736842,133
34,Chelsea,Arsenal,2,2,D,12,13,5,5,0,3,-2,-2,4,6,7,6,16,22,3,1,0,0,2.1543859649122807,0.8,1.6596491228070176,1.1228070175438596,285
35,Coventry,Newcastle,0,2,A,13,13,3,6,0,1,0,0,6,6,6,8,11,18,1,1,0,0,0.7368421052631579,1.2105263157894737,1.0714285714285714,1.6804511278195489,19
36,Derby,Middlesbrough,3,3,D,9,5,5,4,-1,1,-2,-2,2,4,11,5,8,10,3,2,0,0,0.9649122807017544,1.631578947368421,0.9276315789473685,1.4342105263157894,57
37,Leicester,Ipswich,2,1,H,12,7,6,3,1,-1,1,1,5,4,6,2,12,13,1,1,0,0,1.2763157894736843,1.355263157894737,1.236842105263158,1.763157894736842,76
38,Liverpool,Aston Villa,3,1,H,11,9,7,4,-1,-2,2,2,4,2,8,7,13,7,0,2,0,0,1.8982456140350876,0.7578947368421053,1.1508771929824562,1.6456140350877193,285
39,Bradford,Arsenal,1,1,D,9,18,5,11,1,3,-2,-2,4,6,4,10,17,13,0,2,0,0,1.0526315789473684,1.5263157894736843,1.6596491228070176,1.1228070175438596,19
40,Coventry,Leeds,0,0,D,9,11,1,5,-2,2,-1,-1,6,7,6,6,15,14,2,2,0,0,0.7368421052631579,1.2105263157894737,1.2894736842105263,1.5394736842105263,19
41,Ipswich,Aston Villa,1,2,A,15,5,5,2,-2,-1,-1,-1,4,5,5,3,9,13,1,3,0,0,1.3421052631578947,1.0263157894736843,1.1508771929824562,1.6456140350877193,38
42,Leicester,Southampton,1,0,H,17,9,6,5,2,-1,5,5,8,3,10,6,6,9,0,0,0,0,1.2763157894736843,1.355263157894737,1.013157894736842,1.513157894736842,76
43,Liverpool,Man City,3,2,H,14,9,8,7,1,-2,1,1,7,6,9,4,17,17,3,4,0,0,1.8982456140350876,0.7578947368421053,1.2857142857142858,1.368421052631579,285
44,Man United,Sunderland,3,0,H,15,5,7,1,8,-2,4,4,8,4,4,4,18,14,1,3,0,0,2.1964912280701756,0.7017543859649122,0.8947368421052632,1.7456140350877194,285
45,Middlesbrough,Everton,1,2,A,9,12,5,9,1,0,1,1,5,4,7,7,16,5,3,0,0,0,1.3026315789473684,1.236842105263158,1.0736842105263158,1.3543859649122807,152
46,Newcastle,Chelsea,0,0,D,10,10,4,3,3,0,4,4,9,5,5,6,17,21,0,3,0,0,1.537593984962406,1.1766917293233083,1.5368421052631578,0.9263157894736842,266
47,Derby,Charlton,2,2,D,12,10,6,6,-1,-1,-1,-1,3,4,4,11,17,12,3,1,0,0,0.9649122807017544,1.631578947368421,0.9172932330827067,1.5639097744360901,57
48,Tottenham,West Ham,1,0,H,15,11,7,5,1,-3,5,5,7,2,11,3,14,13,1,2,0,0,1.743859649122807,1.0666666666666667,0.9692982456140351,1.6535087719298245,285
49,Arsenal,Coventry,2,1,H,18,6,13,2,3,-2,1,1,7,6,8,4,5,13,1,2,0,0,2.1789473684210527,0.8385964912280702,1.1578947368421053,2.1052631578947367,285
50,Aston Villa,Bradford,2,0,H,12,8,7,4,1,-5,3,3,8,5,5,6,8,12,0,2,0,0,1.2596491228070175,1.1087719298245613,0.5263157894736842,2.1578947368421053,285
51,Charlton,Tottenham,1,0,H,9,10,5,5,-1,2,-5,-5,5,10,7,5,8,10,0,0,0,0,1.3458646616541354,1.3383458646616542,1.2035087719298245,1.4771929824561403,133
52,Everton,Man United,1,3,A,6,17,4,9,1,11,-4,-4,7,11,6,5,10,11,4,1,0,0,1.592982456140351,1.0701754385964912,1.7228070175438597,1.0421052631578946,285
53,Leeds,Ipswich,1,2,A,11,12,6,7,1,-3,3,3,7,4,6,3,12,19,1,3,0,0,1.5394736842105263,1.3026315789473684,1.236842105263158,1.763157894736842,76
54,Southampton,Newcastle,2,0,H,13,10,9,7,-2,3,-7,-7,3,10,4,8,14,14,0,0,0,0,1.486842105263158,1.1578947368421053,1.0714285714285714,1.6804511278195489,152
55,Sunderland,Derby,2,1,H,15,10,8,5,-5,-1,0,0,4,4,4,5,16,28,2,3,0,0,1.1228070175438596,1.206140350877193,0.6140350877192983,2.0701754385964914,228
56,Chelsea,Leicester,0,2,A,16,7,10,5,0,3,-5,-5,6,11,15,3,16,17,3,1,0,0,2.1543859649122807,0.8,1.1578947368421053,1.486842105263158,285
57,Man City,Middlesbrough,1,1,D,11,4,4,2,-3,0,1,1,6,5,9,3,15,11,2,5,0,0,1.8345864661654134,0.9849624060150376,0.9276315789473685,1.4342105263157894,266
58,West Ham,Liverpool,1,1,D,15,7,4,2,-4,2,-8,-8,2,10,9,0,5,13,0,2,0,0,1.4254385964912282,1.2675438596491229,1.4912280701754386,1.1964912280701754,228
59,Bradford,Southampton,0,1,A,14,6,6,4,-5,-2,2,2,5,3,7,5,14,18,3,1,0,0,1.0526315789473684,1.5263157894736843,1.013157894736842,1.513157894736842,19
60,Coventry,West Ham,0,3,A,9,12,2,10,-3,-4,4,4,7,3,5,6,12,11,0,1,0,0,0.7368421052631579,1.2105263157894737,0.9692982456140351,1.6535087719298245,19
61,Derby,Leeds,1,1,D,13,16,7,6,-2,1,-4,-2,4,8,7,4,17,15,2,2,1,0,0.9649122807017544,1.631578947368421,1.2894736842105263,1.5394736842105263,57
62,Ipswich,Arsenal,1,1,D,17,10,6,4,-2,4,-4,-4,7,11,4,7,8,13,1,2,0,0,1.3421052631578947,1.0263157894736843,1.6596491228070176,1.1228070175438596,38
63,Liverpool,Sunderland,1,1,D,11,8,6,3,2,-4,4,4,11,7,12,3,14,18,2,2,0,0,1.8982456140350876,0.7578947368421053,0.8947368421052632,1.7456140350877194,285
64,Man United,Chelsea,3,3,D,11,13,5,5,13,-2,8,8,14,6,8,4,15,19,3,2,0,0,2.1964912280701756,0.7017543859649122,1.5368421052631578,0.9263157894736842,285
65,Middlesbrough,Aston Villa,1,1,D,12,15,5,7,0,1,-3,-5,6,9,5,5,7,14,3,0,0,0,1.3026315789473684,1.236842105263158,1.1508771929824562,1.6456140350877193,152
66,Newcastle,Charlton,0,1,A,12,4,5,2,1,0,2,5,10,8,4,7,14,10,1,2,0,0,1.537593984962406,1.1766917293233083,0.9172932330827067,1.5639097744360901,266
67,Tottenham,Man City,0,0,D,18,7,5,2,1,-3,3,0,10,7,5,4,10,14,0,2,0,0,1.743859649122807,1.0666666666666667,1.2857142857142858,1.368421052631579,285
68,Leicester,Everton,1,1,D,10,9,4,3,5,-1,7,6,14,7,9,3,14,13,3,1,0,0,1.2763157894736843,1.355263157894737,1.0736842105263158,1.3543859649122807,76
69,Aston Villa,Derby,4,1,H,12,11,7,6,1,-2,5,5,9,4,6,6,0,1,1,1,0,0,1.2596491228070175,1.1087719298245613,0.6140350877192983,2.0701754385964914,285
70,Charlton,Coventry,2,2,D,12,10,8,6,1,-6,4,4,11,7,6,6,8,16,1,2,0,0,1.3458646616541354,1.3383458646616542,1.1578947368421053,2.1052631578947367,133
71,Everton,Ipswich,0,3,A,7,9,3,7,-1,-2,0,-2,8,8,4,1,6,5,1,0,0,0,1.592982456140351,1.0701754385964912,1.236842105263158,1.763157894736842,285
72,Leeds,Tottenham,4,3,H,14,10,7,5,2,1,0,-2,11,11,6,4,11,20,0,2,0,0,1.5394736842105263,1.3026315789473684,1.2035087719298245,1.4771929824561403,76
73,Man City,Newcastle,0,1,A,9,15,7,9,-3,0,-2,-2,8,10,10,8,16,12,0,1,0,0,1.8345864661654134,0.9849624060150376,1.0714285714285714,1.6804511278195489,266
74,Southampton,Middlesbrough,1,3,A,16,7,8,5,1,0,2,5,9,7,6,6,6,22,2,2,0,0,1.486842105263158,1.1578947368421053,0.9276315789473685,1.4342105263157894,152
75,West Ham,Bradford,1,1,D,14,9,6,6,-1,-8,1,4,6,5,7,2,14,10,3,2,0,0,1.4254385964912282,1.2675438596491229,0.5263157894736842,2.1578947368421053,228
76,Arsenal,Man United,1,0,H,7,13,5,4,4,13,-3,-2,12,15,3,11,18,17,2,3,0,0,2.1789473684210527,0.8385964912280702,1.7228070175438597,1.0421052631578946,285
77,Chelsea,Liverpool,3,0,H,11,10,5,2,-2,2,-5,-5,7,12,3,1,14,14,1,1,0,0,2.1543859649122807,0.8,1.4912280701754386,1.1964912280701754,285
78,Sunderland,Leicester,0,0,D,11,8,5,2,-4,5,-7,-6,8,15,6,2,12,8,3,1,0,0,1.1228070175438596,1.206140350877193,1.1578947368421053,1.486842105263158,228
79,Arsenal,Aston Villa,1,0,H,16,8,10,3,4,4,0,-1,12,12,7,4,12,20,1,4,0,1,2.1789473684210527,0.8385964912280702,1.1508771929824562,1.6456140350877193,285
80,Coventry,Tottenham,2,1,H,0,4,5,5,-6,0,-3,-5,8,11,3,5,12,16,0,4,1,0,0.7368421052631579,1.2105263157894737,1.2035087719298245,1.4771929824561403,19
81,Everton,Southampton,1,1,D,7,7,3,4,-4,-1,-1,-3,8,9,9,8,16,13,1,3,0,0,1.592982456140351,1.0701754385964912,1.013157894736842,1.513157894736842,285
82,Ipswich,West Ham,1,1,D,11,7,8,2,1,-1,4,1,11,7,8,5,10,11,0,4,0,0,1.3421052631578947,1.0263157894736843,0.9692982456140351,1.6535087719298245,38
83,Leeds,Charlton,3,1,H,22,10,10,8,4,1,2,-1,14,12,8,5,7,9,0,1,0,0,1.5394736842105263,1.3026315789473684,0.9172932330827067,1.5639097744360901,76
84,Leicester,Man United,0,3,A,10,16,4,5,5,12,1,1,16,15,6,7,8,11,0,0,0,0,1.2763157894736843,1.355263157894737,1.7228070175438597,1.0421052631578946,76
85,Man City,Bradford,2,0,H,13,10,10,2,-4,-8,2,3,8,6,5,6,10,16,0,2,0,0,1.8345864661654134,0.9849624060150376,0.5263157894736842,2.1578947368421053,266
86,Sunderland,Chelsea,1,0,H,16,11,11,2,-4,1,-1,0,9,10,5,0,12,18,0,1,1,1,1.1228070175438596,1.206140350877193,1.5368421052631578,0.9263157894736842,228
87,Derby,Liverpool,0,4,A,6,16,0,11,-5,-1,-7,-5,5,12,4,3,18,13,1,1,0,0,0.9649122807017544,1.631578947368421,1.4912280701754386,1.1964912280701754,57
88,Middlesbrough,Newcastle,1,3,A,8,15,2,8,2,1,-3,-1,10,13,6,6,8,13,2,1,0,0,1.3026315789473684,1.236842105263158,1.0714285714285714,1.6804511278195489,152
89,Bradford,Ipswich,0,2,A,7,12,3,3,-8,1,-5,-5,6,11,9,1,15,14,1,0,0,0,1.0526315789473684,1.5263157894736843,1.236842105263158,1.763157894736842,19
90,Charlton,Middlesbrough,1,0,H,5,8,2,6,-1,0,2,3,12,10,5,6,11,19,2,2,0,0,1.3458646616541354,1.3383458646616542,0.9276315789473685,1.4342105263157894,133
91,Chelsea,Coventry,6,1,H,33,3,19,3,0,-5,-1,0,10,11,10,0,6,8,0,1,0,1,2.1543859649122807,0.8,1.1578947368421053,2.1052631578947367,285
92,Liverpool,Leicester,1,0,H,24,8,11,3,3,2,-1,0,15,16,10,9,8,10,1,2,0,0,1.8982456140350876,0.7578947368421053,1.1578947368421053,1.486842105263158,285
